1	T	8
1	T	9
1	B	58
1	M	46
1	B	46
2	T	20
2	T	10
3	T	4
3	T	12
3	T	11
3	B	22
3	B	23
4	T	13
5	T	15
5	T	6
6	T	29
6	T	7
7	T	17
8	T	18
8	T	19
9	T	19
9	T	20
10	T	11
10	T	21
10	T	34
11	T	22
12	T	23
13	B	23
13	T	24
13	B	14
13	B	52
13	M	46
13	M	67
13	M	89
14	T	25
14	B	15
15	T	26
15	T	28
15	T	16
15	B	41
15	B	29
5	T	16
16	T	28
16	T	29
17	T	29
17	T	30
18	T	31
18	T	43
19	T	32
20	T	33
21	T	33
22	B	23
22	T	35
22	B	34
22	B	65
23	T	37
23	B	67
24	T	37
24	T	38
25	T	39
25	T	38
26	T	39
26	T	27
27	T	28
27	T	40
28	T	41
29	B	41
29	B	42
29	B	55
30	T	42
31	T	43
31	T	44
32	T	44
32	T	45
32	T	33
33	T	46
34	T	47
34	T	48
34	B	46
34	B	63
35	T	48
35	T	36
35	T	65
36	T	37
36	T	49
37	T	50
38	T	50
38	T	51
39	T	51
39	T	52
40	T	52
40	T	41
40	T	53
41	T	54
41	B	87
41	B	52
42	T	56
42	B	72
7	B	42
43	T	57
44	T	58
45	T	58
45	T	46
45	T	60
45	T	59
46	T	47
46	T	61
46	B	58
46	B	78
46	M	74
46	M	79
47	T	62
48	T	62
48	T	63
49	T	50
49	T	66
51	T	67
51	T	68
51	T	52
52	T	69
52	B	86
52	B	67
53	T	69
53	T	54
54	T	55
54	T	70
55	T	71
55	B	89
56	T	91
57	T	58
57	T	73
58	T	59
58	B	74
58	T	75
58	B	77
59	T	75
59	T	76
60	T	76
60	T	61
61	T	62
61	T	78
61	T	76
62	T	79
63	B	79
63	T	64
63	T	80
63	B	65
63	B	100
64	T	65
64	T	81
65	T	66
65	B	82
65	B	67
66	T	67
66	T	82
67	T	84
67	T	68
67	B	102
67	B	82
67	M	89
67	M	79
67	M	111
68	T	69
68	T	85
69	T	86
70	T	71
70	T	87
71	T	72
71	T	89
72	T	90
72	T	91
72	B	107
72	B	105
73	T	74
73	T	92
74	T	92
74	T	75
74	B	94
75	T	94
76	T	77
77	B	78
77	T	95
77	T	96
77	B	124
77	B	94
78	B	79
78	T	97
79	T	98
79	M	111
79	M	93
80	T	99
80	T	100
81	T	82
81	T	100
82	T	101
82	B	100
82	B	140
83	T	101
83	T	102
84	T	85
85	T	103
86	T	103
86	T	104
86	B	87
86	B	116
86	B	102
87	T	88
87	B	105
88	T	89
88	T	117
89	B	105
89	M	128
89	M	140
90	T	91
90	T	105
91	T	105
91	T	107
92	T	93
93	B	94
94	T	95
95	T	122
96	T	97
96	T	109
97	T	98
97	T	109
98	T	99
98	T	110
99	T	110
99	T	112
100	T	101
100	T	113
100	T	112
100	B	111
101	T	114
102	T	115
102	T	103
102	B	127
104	T	116
105	T	106
105	B	108
105	B	107
106	T	107
107	T	119
107	B	161
108	T	117
108	T	119
108	B	135
108	B	116
108	S	115
109	T	110
109	T	124
110	T	111
111	T	112
111	B	124
111	M	153
111	M	163
112	T	125
113	T	114
113	T	125
114	T	115
114	T	131
114	T	132
114	T	126
115	T	126
115	T	127
115	S	157
116	T	117
116	T	118
116	B	127
116	B	142
117	T	129
118	T	129
118	T	142
118	T	134
119	T	136
120	T	121
120	T	144
121	T	122
121	T	145
122	B	123
122	T	146
122	B	144
123	B	124
123	T	137
123	T	148
123	T	149
123	B	165
123	B	144
124	T	130
124	T	138
124	B	153
125	T	131
126	T	127
126	T	140
127	T	134
127	B	133
128	B	142
128	T	143
128	T	160
128	T	188
128	T	172
128	B	135
128	B	161
128	B	199
128	B	187
128	M	140
128	M	185
129	T	135
129	T	142
129	T	143
130	T	131
130	T	139
132	T	140
133	T	141
133	B	140
133	B	157
134	T	142
134	T	141
135	T	143
135	B	161
135	T	136
136	T	162
137	T	147
138	T	152
138	T	150
139	T	140
139	T	154
139	T	153
140	B	156
140	B	154
140	M	153
141	T	142
141	T	158
142	T	143
142	T	158
142	B	157
143	T	160
144	T	145
144	T	177
144	B	163
145	T	146
146	T	147
146	T	163
147	T	164
148	T	149
148	T	164
149	T	150
149	T	165
150	T	151
151	T	152
151	T	166
151	T	165
152	T	153
153	B	154
153	T	167
153	T	166
153	B	184
153	B	180
153	M	163
153	M	185
154	T	155
154	B	156
155	T	156
155	T	167
155	T	168
156	B	157
156	T	169
156	B	184
157	T	158
157	T	170
157	B	185
157	S	194
158	T	159
159	T	172
159	T	198
159	T	186
159	T	170
160	T	161
160	T	173
161	T	174
161	B	199
162	T	175
163	T	177
163	B	176
163	B	191
164	T	179
164	T	178
165	T	179
165	B	180
165	B	191
166	T	183
166	T	181
167	T	168
167	T	183
168	T	184
169	T	184
170	T	185
171	T	173
171	T	175
171	T	199
172	T	187
173	T	174
173	T	188
174	T	175
176	T	177
176	T	189
176	B	190
178	T	191
178	T	189
179	T	191
180	T	181
180	T	193
180	B	184
180	B	190
181	T	182
181	T	193
182	T	183
182	T	195
183	T	196
184	B	185
184	T	197
184	T	196
185	T	186
185	B	187
186	T	198
187	T	188
187	T	198
188	T	199
189	T	190
190	B	191
190	T	192
191	T	192
192	T	194
193	T	194
194	T	195
195	T	197
196	T	197
198	T	199
